{ _pinturaperfis   // Cor Pintura Perfil
   *AZZERA*            =0
   DESCRIZIONE         =Cor Pintura Perfil
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =^3;6;120;120;3,7;#FOTO\MADEIRA\;2;3;;;1;
   MEMO                =1Código 1800Descrição 5250Preview 4725material base 2115cod pintura 1200LITRO PINTURA POR ML 3225rgb 1200COLUNA 6 = QUANTIDADE EM LITROS DE ACORDO COM METRO LINEAR UTILIZADO

   { 
      //       ,Descrição        ,Preview                           ,mate,cod pi,LITRO ,rgb
      001      ,Pintura 01       ,                                  ,    ,      ,      ,
      001.001  ,Branco neve      ,BRILHANTE_BIANCO.jpg              ,4   ,51176 ,1     ,
      002      ,Pintura 02       ,                                  ,    ,      ,0.002 ,
      002.002  ,Argila           ,argila_gof.jpg                    ,4   ,51170 ,0.002 ,
      002.003  ,Canapa           ,canapa_gof.jpg                    ,4   ,51171 ,0.002 ,
      002.004  ,Ébano Pintura    ,EBANOC.JPG                        ,4   ,51178 ,0.002 ,
      002.005  ,Grigio           ,GRIGIO_ACABAM.JPG                 ,4   ,51160 ,0.002 ,
      002.006  ,Luna             ,argila_gof.jpg                    ,4   ,51161 ,0.002 ,
      002.007  ,Novo Panna       ,PANNA.jpg                         ,4   ,51177 ,0.002 ,
      002.008  ,Panna            ,PANNA.jpg                         ,4   ,51175 ,0.002 ,
      003      ,Pintura 03       ,                                  ,    ,      ,      ,
      003.001  ,Caffe            ,caffe_gof.jpg                     ,4   ,51162 ,0.002 ,
      003.002  ,Creta            ,creta_gof.jpg                     ,4   ,51162 ,0.002 ,
      003.003  ,Danúbio          ,Danubio_.jpg                      ,4   ,51163 ,0.002 ,
      003.004  ,Dark             ,DARK.jpg                          ,4   ,51173 ,0.002 ,
      003.005  ,Grafite Metálico ,Grafite.jpg                       ,4   ,51165 ,0.002 ,
      003.006  ,Grafite Pintura  ,Grafite.jpg                       ,4   ,51164 ,0.002 ,
      003.007  ,Quartzo          ,quarzo_gof.jpg                    ,4   ,51174 ,0.002 ,
      003.008  ,Viscco           ,VISCCO_PINTURA_MICROTEXTURA.jpg   ,4   ,51366 ,0.002 ,
      003.009  ,Taupe            ,TAUPE_PINTURA_MICROTEXTURA.jpg    ,4   ,51355 ,0.002 ,
      003.010  ,Volcano          ,VOLCANO_PINTURA_MICROTEXTURA.jpg  ,4   ,51357 ,0.002 ,
      003.011  ,Lanotta          ,LANOTTA_PINTURA_MICROTEXTURA.jpg  ,4   ,51356 ,0.002 ,
      003.012  ,Moka             ,MOKA_PINTURA_MICROTEXTURA.jpg     ,4   ,51358 ,0.002 ,
      003.013  ,Prussia          ,PRUSSIA_PINTURA_MICROTEXTURA.jpg  ,4   ,51353 ,0.002 ,
      003.014  ,Marea            ,MAREA_PINTURA_MICROTEXTURA.jpg    ,4   ,51360 ,0.002 ,
      003.015  ,Granata          ,GRANATA_PINTURA_MICROTEXTURA.jpg  ,4   ,51359 ,0.002 ,
      003.016  ,Castoro          ,CASTORO_PINTURA_MICROTEXTURA.jpg  ,4   ,51352 ,0.002 ,
      003.017  ,Vanilla          ,VANILLA_PINTURA_MICROTEXTURA.jpg  ,4   ,51354 ,0.002 ,
      003.018  ,Cobalto          ,COBALTO_PINTURA_MICROTEXTURA.jpg  ,4   ,51351 ,0.002 ,
      003.019  ,Arena            ,ARENA_PINTURA_MICROTEXTURA.jpg    ,4   ,51350 ,0.002 ,
      004      ,Pintura 04       ,                                  ,    ,      ,      ,
      004.001  ,Blu Marino       ,Blu marino_.jpg                   ,4   ,51166 ,0.002 ,
      004.002  ,Esmeralda        ,ESMERALDA_.jpg                    ,4   ,51167 ,0.002 ,
      004.003  ,Mattone          ,PINTURA_MICROTEXTURA-MATTONE.jpg  ,4   ,51179 ,0.002 ,
      004.004  ,Pomodoro         ,Pomadoro_.jpg                     ,4   ,51168 ,0.002 ,
      004.005  ,Turchese         ,PINTURA_MICROTEXTURA-TURCHESE.jpg ,4   ,51169 ,0.002 ,
      005      ,NCS              ,                                  ,    ,      ,      ,
      005.001  ,0300 N           ,001.jpg                           ,4   ,4458  ,0.002 ,246;245;242
      005.002  ,0500 N           ,001.jpg                           ,4   ,4458  ,0.002 ,241;239;235
      005.003  ,0502 B           ,001.jpg                           ,4   ,4458  ,0.002 ,233;237;240
      005.004  ,0502 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,230;237;237
      005.005  ,0502 G           ,001.jpg                           ,4   ,4458  ,0.002 ,233;237;234
      005.006  ,0502 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,238;239;231
      005.007  ,0502 R           ,001.jpg                           ,4   ,4458  ,0.002 ,242;235;230
      005.008  ,0502 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,237;232;235
      005.009  ,0502 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,243;239;227
      005.010  ,0502 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;237;227
      005.011  ,0505 B           ,001.jpg                           ,4   ,4458  ,0.002 ,225;234;237
      005.012  ,0505 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,227;237;238
      005.013  ,0505 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,227;237;236
      005.014  ,0505 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,232;240;235
      005.015  ,0505 G           ,001.jpg                           ,4   ,4458  ,0.002 ,229;237;230
      005.016  ,0505 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,235;241;234
      005.017  ,0505 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,231;237;226
      005.018  ,0505 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,232;238;226
      005.019  ,0505 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;242;228
      005.020  ,0505 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;242;224
      005.021  ,0505 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;241;224
      005.022  ,0505 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,240;238;221
      005.023  ,0505 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,241;238;219
      005.024  ,0505 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,249;243;223
      005.025  ,0505 R           ,001.jpg                           ,4   ,4458  ,0.002 ,246;232;228
      005.026  ,0505 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,242;229;229
      005.027  ,0505 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,241;229;231
      005.028  ,0505 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,243;232;236
      005.029  ,0505 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,238;230;235
      005.030  ,0505 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,236;231;235
      005.031  ,0505 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,236;234;240
      005.032  ,0505 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,229;233;238
      005.033  ,0505 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,227;233;238
      005.034  ,0505 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,227;233;237
      005.035  ,0505 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,244;240;219
      005.036  ,0505 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;237;215
      005.037  ,0505 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;237;212
      005.038  ,0505 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;234;212
      005.039  ,0505 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,249;235;215
      005.040  ,0505 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;229;212
      005.041  ,0505 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;232;219
      005.042  ,0505 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,245;229;220
      005.043  ,0505 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;233;224
      005.044  ,0505 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;232;226
      005.045  ,0507 B           ,001.jpg                           ,4   ,4458  ,0.002 ,222;234;239
      005.046  ,0507 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,221;235;237
      005.047  ,0507 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,225;238;232
      005.048  ,0507 G           ,001.jpg                           ,4   ,4458  ,0.002 ,229;241;231
      005.049  ,0507 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,236;240;221
      005.050  ,0507 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,241;239;213
      005.051  ,0507 R           ,001.jpg                           ,4   ,4458  ,0.002 ,247;228;226
      005.052  ,0507 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,242;225;229
      005.053  ,0507 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,240;229;235
      005.054  ,0507 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,235;231;239
      005.055  ,0507 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,223;230;238
      005.056  ,0507 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,246;237;210
      005.057  ,0507 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,250;236;208
      005.058  ,0507 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;229;206
      005.059  ,0507 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,249;228;212
      005.060  ,0507 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,249;228;220
      005.061  ,0510 B           ,001.jpg                           ,4   ,4458  ,0.002 ,210;227;234
      005.062  ,0510 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,210;230;235
      005.063  ,0510 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,209;231;231
      005.064  ,0510 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,218;236;235
      005.065  ,0510 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,215;237;231
      005.066  ,0510 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,216;237;227
      005.067  ,0510 G           ,001.jpg                           ,4   ,4458  ,0.002 ,221;240;224
      005.068  ,0510 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,224;239;222
      005.069  ,0510 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,227;239;220
      005.070  ,0510 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,229;238;214
      005.071  ,0510 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,235;241;213
      005.072  ,0510 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,233;237;212
      005.073  ,0510 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,234;237;209
      005.074  ,0510 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,242;243;206
      005.075  ,0510 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,241;239;204
      005.076  ,0510 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,245;238;204
      005.077  ,0510 R           ,001.jpg                           ,4   ,4458  ,0.002 ,248;220;216
      005.078  ,0510 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,248;224;223
      005.079  ,0510 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,244;221;224
      005.080  ,0510 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,241;222;228
      005.081  ,0510 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,239;226;232
      005.082  ,0510 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,236;226;234
      005.083  ,0510 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,228;225;235
      005.084  ,0510 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,221;223;234
      005.085  ,0510 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,219;228;237
      005.086  ,0510 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,218;232;240
      005.087  ,0510 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,242;232;196
      005.088  ,0510 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,250;236;197
      005.089  ,0510 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,251;232;195
      005.090  ,0510 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;229;206
      005.091  ,0510 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,249;228;212
      005.092  ,0510 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,253;227;204
      005.093  ,0510 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;226;206
      005.094  ,0510 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;222;206
      005.095  ,0510 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,253;223;211
      005.096  ,0510 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,250;223;215
      005.097  ,0515 B           ,001.jpg                           ,4   ,4458  ,0.002 ,200;226;235
      005.098  ,0515 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,195;227;231
      005.099  ,0515 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,200;233;231
      005.100  ,0515 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,201;234;223
      005.1000 ,0515 G           ,001.jpg                           ,4   ,4458  ,0.002 ,210;236;216
      005.1001 ,0515 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,215;235;208
      005.1002 ,0515 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,230;239;205
      005.1003 ,0515 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,231;235;192
      005.1004 ,0515 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,239;237;191
      005.1005 ,0515 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,249;238;190
      005.1006 ,0515 R           ,001.jpg                           ,4   ,4458  ,0.002 ,248;212;209
      005.1007 ,0515 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,246;212;215
      005.1008 ,0515 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,243;213;220
      005.1009 ,0515 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,239;218;233
      005.101  ,0515 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,222;219;237
      005.1010 ,0515 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,206;220;236
      005.1011 ,0515 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,202;221;236
      005.1012 ,0515 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,250;237;188
      005.1013 ,0515 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,252;233;184
      005.1014 ,0515 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;228;181
      005.1015 ,0515 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,254;220;178
      005.1016 ,0515 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;219;184
      005.1017 ,0515 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;215;185
      005.1018 ,0515 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,254;215;193
      005.1019 ,0515 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,252;212;194
      005.102  ,0515 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,255;214;202
      005.1020 ,0515 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,250;212;203
      005.1021 ,0520 B           ,001.jpg                           ,4   ,4458  ,0.002 ,186;223;236
      005.1022 ,0520 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,181;223;233
      005.1023 ,0520 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,179;224;227
      005.1024 ,0520 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,180;224;225
      005.1025 ,0520 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,187;229;227
      005.1026 ,0520 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,183;230;225
      005.1027 ,0520 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,183;231;221
      005.1028 ,0520 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,190;233;214
      005.1029 ,0520 G           ,001.jpg                           ,4   ,4458  ,0.002 ,198;236;209
      005.103  ,0520 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,199;236;205
      005.1030 ,0520 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,208;234;200
      005.1031 ,0520 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,214;232;192
      005.1032 ,0520 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,221;235;187
      005.1033 ,0520 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,231;240;187
      005.1034 ,0520 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,230;236;182
      005.1035 ,0520 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,239;241;182
      005.1036 ,0520 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,243;236;177
      005.1037 ,0520 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,244;232;173
      005.1038 ,0520 R           ,001.jpg                           ,4   ,4458  ,0.002 ,249;200;197
